"Notes","State","State Code","County","County Code",Deaths,Population,Crude Rate
,"Alabama","01","Autauga County, AL","01001",40,60342,66.3
,"Alabama","01","Baldwin County, AL","01003",199,253507,78.5
,"Alabama","01","Barbour County, AL","01005",26,24585,105.8
,"Alabama","01","Bibb County, AL","01007",17,21868,Unreliable
,"Alabama","01","Blount County, AL","01009",47,59816,78.6
,"Alabama","01","Bullock County, AL","01011",Suppressed,9897,Suppressed
,"Alabama","01","Butler County, AL","01013",25,18382,136.0
,"Alabama","01","Calhoun County, AL","01015",64,116429,55.0
,"Alabama","01","Chambers County, AL","01017",68,34079,199.5
,"Alabama","01","Cherokee County, AL","01019",29,25666,113.0
,"Alabama","01","Chilton County, AL","01021",23,46431,49.5
,"Alabama","01","Choctaw County, AL","01023",23,12252,187.7
,"Alabama","01","Clarke County, AL","01025",18,22337,Unreliable
,"Alabama","01","Clay County, AL","01027",Suppressed,14111,Suppressed
,"Alabama","01","Cleburne County, AL","01029",Suppressed,15639,Suppressed
,"Alabama","01","Coffee County, AL","01031",65,55643,116.8
,"Alabama","01","Colbert County, AL","01033",63,58361,107.9
,"Alabama","01","Conecuh County, AL","01035",38,11174,340.1
,"Alabama","01","Coosa County, AL","01037",17,10268,Unreliable
,"Alabama","01","Covington County, AL","01039",66,37952,173.9
,"Alabama","01","Crenshaw County, AL","01041",14,13101,Unreliable
,"Alabama","01","Cullman County, AL","01043",75,92016,81.5
,"Alabama","01","Dale County, AL","01045",66,49871,132.3
,"Alabama","01","Dallas County, AL","01047",31,36165,85.7
,"Alabama","01","DeKalb County, AL","01049",61,72569,84.1
,"Alabama","01","Elmore County, AL","01051",81,90441,89.6
,"Alabama","01","Escambia County, AL","01053",57,36558,155.9
,"Alabama","01","Etowah County, AL","01055",106,103241,102.7
,"Alabama","01","Fayette County, AL","01057",12,15967,Unreliable
,"Alabama","01","Franklin County, AL","01059",31,31802,97.5
,"Alabama","01","Geneva County, AL","01061",53,26988,196.4
,"Alabama","01","Greene County, AL","01063",10,7341,Unreliable
