County,State,actual_risk,predicted_risk,prediction_error,unemployment_rate,median_household_income,per_capita_income,pct_no_health_insurance_places,pct_high_blood_pressure,pct_on_bp_medication,pct_coronary_heart_disease,pct_annual_checkup,pct_cholesterol_screening,pct_current_smoking,pct_diabetes,pct_high_cholesterol,pct_low_physical_activity,pct_obesity,pct_stroke,pct_with_insurance,pct_without_insurance,pct_with_public_insurance,primary_care_physicians_per_1k,nurse_practitioners_per_1k,physician_assistants_per_1k,hospital_beds_per_1k,critical_access_hospitals_per_1k,hospitals_diabetes_prevention_per_1k,hospitals_nutrition_programs_per_1k,hospitals_community_health_education_per_1k,risk_rank,risk_percentile,shap_unemployment_rate,shap_median_household_income,shap_per_capita_income,shap_pct_no_health_insurance_places,shap_pct_high_blood_pressure,shap_pct_on_bp_medication,shap_pct_coronary_heart_disease,shap_pct_annual_checkup,shap_pct_cholesterol_screening,shap_pct_current_smoking,shap_pct_diabetes,shap_pct_high_cholesterol,shap_pct_low_physical_activity,shap_pct_obesity,shap_pct_stroke,shap_pct_with_insurance,shap_pct_without_insurance,shap_pct_with_public_insurance,shap_primary_care_physicians_per_1k,shap_nurse_practitioners_per_1k,shap_physician_assistants_per_1k,shap_hospital_beds_per_1k,shap_critical_access_hospitals_per_1k,shap_hospitals_diabetes_prevention_per_1k,shap_hospitals_nutrition_programs_per_1k,shap_hospitals_community_health_education_per_1k
Berks,Pennsylvania,0.9195487279961,1.1150288255495706,0.19548009755347062,5.3,77684.0,39012.0,12.2,32.5,79.1,6.1,79.0,84.7,14.8,11.5,28.0,24.9,34.8,3.0,91.80330898916642,6.556521056048574,37.82256406227979,12.088254098762116,17.29320626498432,10.59691729148203,44.62965557646,0.0,0.0533031363882953,0.0249141959145722,0.0860710753458023,2163,70.3,0.013565815868345838,-0.023307777518571656,0.00094654578939435,0.0011716128779275547,-0.014659547196187547,0.000828532664287097,-0.00390680908466114,-0.007890649536412235,-0.0023525894222792545,-0.0413206918021954,-0.0016713730753078779,-0.007956362380424702,-0.008723748901866356,-0.01463821780492217,-0.0015739122283967232,0.0021746478499896746,-0.000647309757100496,-0.06671422581053665,0.00033492290542020054,-0.0007957892183929952,-0.004255227091680601,0.0006696026315161192,0.03502644828312184,0.0012169939167845337,-0.007314069951334106,-0.0016663431475058652
Emmet,Iowa,3.250623036081916,1.9044129099277256,1.3462101261541906,2.0,65181.0,36957.0,9.1,28.7,80.6,6.1,78.6,82.1,17.2,10.3,29.9,27.2,38.5,3.2,93.05450211290496,5.331021779174342,42.301441109546,13.64772718833908,23.33528484251333,9.446836357339311,49.15312093831858,1.1145021540017588,0.9112186017202316,0.0,1.289692203612824,177,5.8,0.01442576139851411,0.02053907261725081,0.05192338035811668,0.009328420648018424,-0.030206178590895527,0.023870948714627107,0.002354841953293039,0.02928310339539214,-0.002284620667655155,0.046697935829868975,-0.0048081911231196844,0.001493249085625511,0.015658101780792907,0.0745055397463285,0.007030526202609689,0.02413094286715072,0.007272862693318267,0.2139838373122904,0.005583091235105362,-0.0055351250312622394,0.0016382147843303108,0.011483107864915283,0.05764053250487775,0.04026697102474358,-0.012292624992495484,0.031940861625424144
Lasalle,Louisiana,0.0,1.4207653329986991,1.4207653329986991,7.6,67077.0,31297.0,8.8,36.7,61.1,7.6,76.8,83.4,21.7,13.1,33.0,30.1,39.6,4.1,88.22972972972974,4.783783783783783,47.43243243243243,16.473301126294967,42.67722564771957,6.301024733854519,135.11210196822688,0.2967272405388758,0.2712499993849098,0.0414125422806624,0.4789381383598554,1258,40.9,0.01662413439128557,-0.015753599813818346,-0.0013609635834698109,0.0025292578875004083,-0.014174098052081347,-0.023445677896206683,-0.0014908076136007757,-0.009262298294087931,-0.0053644714032758485,0.04144442753334457,-0.009167295198757567,-0.012398180751843266,0.0030904306201736563,0.015489076070997625,-0.0027636575761709322,0.0025491502001844207,0.0036011617507115037,0.1440582504410842,0.00018010243999814175,-0.0023771790184413583,-0.03047980475885671,-0.0003949724553278491,0.037537424333666275,0.0012070064120251111,0.0007430982183003037,0.011656472424807737
Albany,Wyoming,0.6273361737721201,0.8382104848939899,0.21087431112186972,4.3,59881.0,37277.0,9.1,21.6,57.8,5.0,65.1,79.2,12.8,7.6,27.0,21.4,35.0,3.2,90.3416368246334,7.653501320019866,20.89813628878376,2.1004241070441307,4.00739194864258,1.441162101661615,5.910463504477528,0.0344958794367016,0.0343093993707824,0.0,0.0604484066112874,2630,85.5,0.016181759401819557,0.008310275681568141,0.024152418545867138,-0.0019447852888307658,-0.031819118299181465,-0.0200979333110078,-0.012298867498651936,0.08413618009560456,0.005196586415850647,-0.10040716080069144,-0.007894889376883991,-0.0078108815146219306,-0.00935480094348781,-0.021807677183534425,-0.000415946469825355,-0.00218244839447318,-0.0022520124054392346,-0.36056416344137504,0.004747758003662113,0.0022531347833519458,-0.00433867925829293,-7.949580422715275e-05,0.025207086190504758,-0.003325245866040367,-0.018210289552356842,0.004341334494126493
Lawrence,Pennsylvania,1.4797802822236954,1.518122618359924,0.038342336136228505,6.2,60779.0,34283.0,4.8,29.7,81.2,8.8,80.3,85.6,18.5,12.5,35.3,24.0,35.5,4.2,94.73908514063832,5.346150203617767,46.72909366417274,24.25522811532356,36.4623749096666,24.87347484831317,102.9120608648581,0.0230948992790625,0.1823312401434864,0.0336475729859567,0.256422720854508,954,31.0,0.01485203159277953,0.014022894840406653,0.011932356129292668,0.008795235932941974,-0.036052486876335985,0.015167213304940148,0.008002822996400398,0.0001035896916803641,-0.0037327557641865334,0.02489139691812949,-0.001379676645442205,-0.003496214395887663,-0.009864495489637078,-0.014730164677082148,-0.0034164192215729167,0.006339675474223223,-0.0011715897175401902,0.1574556379090991,0.000995830659228834,-0.0030556473999736144,0.021408978346605035,0.003976962823079617,0.02940003376364749,0.0032725692444190053,-0.0005963840539596593,0.006512876284109223
Shelby,Indiana,1.4149587672171742,1.3264834055564565,0.08847536166071768,4.0,71301.0,35637.0,10.5,36.1,61.2,8.4,75.1,80.2,20.9,11.0,36.8,30.2,39.7,4.0,91.94136764608344,6.029050872189427,37.56715526961597,39.72750432167702,71.32243138036371,24.28110169863311,150.5630472880688,0.1683206190094058,0.3751798323621225,0.0719756758567119,0.4851875727432846,1538,50.0,0.02295709839475418,-0.015911910794490305,0.008701541273713443,0.0018443810719039801,-0.001324960541333743,-0.01072452030627227,0.007843944525975146,-0.00693938499733577,0.006242473422187923,0.03051324472299784,-0.005093811292186619,-0.0006530664660883939,-2.782562093908896e-05,0.04191876006524952,0.0011606878556216429,0.005483155934788985,0.00034481626548169843,-0.12669164261336607,-0.0004502235018871097,0.0013847420774447143,0.008564680646512416,0.0020663007649593932,0.057353079034151384,0.007350065285243363,0.0151073130046235,0.006976120654187777
Platte,Missouri,0.7236019296051456,0.8761327552186056,0.15253082561345999,3.5,95748.0,49273.0,7.1,31.1,59.0,5.6,77.3,82.8,14.9,10.5,32.8,21.9,39.9,2.7,90.3707343219582,5.661961765231374,22.96408790423441,15.449963048276029,29.56971519505268,5.259700884785332,63.964992888516775,0.0507293693370839,0.1336965549801169,0.0418691706635045,0.2140861922254354,2588,84.1,0.01311568732130292,-0.04618330872723879,-0.058914473338491515,0.0034555675465828906,-0.019563871827104593,-0.006406435422991097,-0.008676452999008164,-0.007773027840146233,-0.0022745173571521657,-0.03515097252844214,-0.003553837041636061,-0.005157172728776555,-0.005097156564241356,0.054313268133866784,-0.00030840547322121117,0.00118690076015074,0.0008176489611831592,-0.32536120694708937,0.0005503561316408614,-0.0011342207247269198,-0.006422746526289444,0.0033937432338730657,0.03957279778312979,0.003454523393019676,0.012714648238948887,0.007047073070903406
Greene,Pennsylvania,1.7754751579008643,1.577672006535567,0.19780315136529736,6.1,66870.0,33316.0,6.8,34.9,59.8,6.7,78.8,83.1,19.4,9.7,29.1,24.5,35.6,4.2,92.58084233198474,3.993363797770469,43.80184532991821,50.88050757590549,77.8125261937912,61.07948840474229,226.08134211258823,0.1217999715390769,0.3262910063517983,0.1026675844431279,0.5793136865864789,778,25.3,0.018780855284764444,-0.0020437124573351438,0.010788928631460245,0.005284733603342148,-0.029467719382917982,-0.01201126475789033,0.0010190448306014292,0.0007960447501207657,-0.0003583766074822213,0.04537451503433204,-0.0059914343893673295,-0.012144440390420522,-0.006226870683600895,-0.01488239238496725,0.00011172320692882404,0.008678820271534554,0.0013427649960709748,0.16684313803252934,0.0043717461112861514,0.010480802914217404,0.03978595201773827,0.008579415356920328,0.03693079406620866,0.005694006188806392,0.01435878384966554,0.01308780175246221
Johnson,Nebraska,3.270488649480569,2.0088767102733907,1.2616119392071785,2.0,59457.0,25942.0,8.7,34.6,60.6,5.9,69.5,77.9,14.5,11.2,30.2,24.2,40.2,2.8,78.53020392458639,4.155444401692958,29.81916121585225,139.30239483094851,231.31163543363385,136.56284763243212,601.3175774323754,2.8255694687656616,1.786719654948261,0.3792605100650859,2.5812944370257576,110,3.6,0.025676172104599743,0.03751564514866329,0.18990269376961905,0.006120252402504305,-0.016122329863838526,0.006350828471058924,0.013231915805742223,0.10064841900231822,0.03605300385110296,-0.008715178969791145,0.00020947385929405177,0.01879561740554066,0.005148486473974265,0.09159056552805242,0.009466585962272034,-0.006733888626001276,0.06719113167153486,0.006275192495643863,0.04884013077611531,0.04930726331387248,0.09050799140321808,0.003388371445502239,-0.1704458204080059,0.046622245817011625,0.09290850144388006,-0.003344906701052301
Grundy,Illinois,1.2131845160327,1.0707080359799084,0.14247648005279157,4.5,93060.0,43744.0,7.1,31.6,77.7,5.3,74.2,81.6,13.2,10.2,32.8,20.5,35.3,3.0,94.53507036470194,3.650752174399941,27.27612079584904,93.9061825022903,112.29431596827423,42.97130903301832,326.71656753615525,0.0499206125516683,0.4883035679864929,0.0641337255974825,0.6297549400829235,2254,73.3,0.01412725179759813,-0.022970630519691223,-0.016600668124575124,0.003678762107199769,-0.019554536209065308,-0.001596104966291501,-0.0015010935519738384,0.001383767617923819,0.0016554835685873817,-0.043995508927807854,-0.0015974559342190051,-0.005475601565147068,-0.005939337180633964,-0.004537281528171367,0.0006684650881591968,0.007836757273610306,0.007363245680516189,-0.22669765014748738,0.005538669337203022,0.003353475814279286,0.01727174422480594,-0.009394244984611095,0.03481625503607159,0.01712514113958359,0.025533508778219725,0.02172727546526508
